donor_id,category
2011,Grocery Store
440,Grocery Store
2030,Grocery Store
442,Grocery Store
333,Grocery Store
1120,Grocery Store
1966,Grocery Store
1999,Grocery Store
441,Grocery Store
58,Grocery Store
1950,Grocery Store
855,Grocery Store
2000,Grocery Store
1230,Grocery Store
2209,Grocery Store
876,Grocery Store
43,Grocery Store
1233,Grocery Store
736,Grocery Store
2200,Grocery Store
1351,Church
834,Church
1293,Church
2201,Grocery Store
560,Church
1763,Corporate Organization
737,Corporate Organization
2212,Corporate Organization
1892,Corporate Organization
2215,Corporate Organization
2197,Corporate Organization
439,Grocery Store
329,Corporate Organization
2147,Corporate Organization
1737,Corporate Organization
1733,Corporate Organization
2402,Corporate Organization
1947,Corporate Organization
1888,Corporate Organization
2378,Corporate Organization
96,Corporate Organization
1147,Corporate Organization
1920,Corporate Organization
2403,Corporate Organization
63,Church
2317,Church
112,Church
48,Church
2404,Church
41,Church
1316,TEFAP
1318,Food Waste
2364,Senior Program
2199,Corporate Organization
2154,Corporate Organization
1032,Corporate Organization
1504,Corporate Organization
2206,Corporate Organization
151,Corporate Organization
2208,Corporate Organization
801,Corporate Organization
950,Corporate Organization
2196,Corporate Organization
2205,Corporate Organization
2211,Corporate Organization
2189,Corporate Organization
2008,Corporate Organization
470,Corporate Organization
734,Corporate Organization
2220,Corporate Organization
2153,Corporate Organization
735,Corporate Organization
1665,Corporate Organization
2179,Corporate Organization
825,Corporate Organization
1489,Corporate Organization
2222,Corporate Organization
238,Corporate Organization
758,Corporate Organization
121,Church
143,Church
1781,Corporate Organization
288,Corporate Organization
1618,Corporate Organization
2236,Corporate Organization
2227,Corporate Organization
1560,Grocery Store
2373,Grocery Store
2427,Church
2425,Grocery Store
2409,Corporate Organization
1578,Corporate Organization
2345,Corporate Organization
2412,Corporate Organization
2379,Corporate Organization
1578,Corporate Organization
2409,Corporate Organization
998,Corporate Organization
2096,Grocery Store
2302,Corporate Organization
1750,Corporate Organization
1139,Corporate Organization
1616,Corporate Organization
2370,Corporate Organization
2446,Corporate Organization
2444,Corporate Organization
2438,Corporate Organization
2445,Corporate Organization
2442,Grocery Store
2435,Grocery Store
2238,Grocery Store
2401,Church
1303,Corporate Organization
1139,Corporate Organization
1809,Corporate Organization
1939,Corporate Organization
1000,Corporate Organization
2395,Corporate Organization
2394,Corporate Organization
2396,Corporate Organization
1539,Corporate Organization
1942,Corporate Organization
2384,Corporate Organization
2385,Corporate Organization
2377,Corporate Organization
480,Corporate Organization
2133,Corporate Organization
2032,Corporate Organization
2390,Corporate Organization
2045,Corporate Organization
2361,Corporate Organization
2380,Corporate Organization
1681,Corporate Organization
2242,Church
53,Church
2371,Corporate Organization
2370,Corporate Organization
336,Corporate Organization
1337,Corporate Organization
525,Corporate Organization
1900,Corporate Organization
2360,Corporate Organization
430,Corporate Organization
639,Corporate Organization
2358,Corporate Organization
1643,Corporate Organization
301,Corporate Organization
2359,Corporate Organization
799,Corporate Organization
2315,Church
1639,Corporate Organization
82,Corporate Organization
1190,Corporate Organization
1931,Corporate Organization
2355,Corporate Organization
2343,Corporate Organization
2242,Church
2321,Corporate Organization
381,Corporate Organization
2342,Corporate Organization
841,Senior Program
2339,Corporate Organization
2081,Corporate Organization
2350,Corporate Organization
1677,Corporate Organization
2299,Senior Program
2308,Corporate Organization
2245,Corporate Organization
2046,Corporate Organization
1223,Corporate Organization
2243,Corporate Organization
2304,Corporate Organization
1805,Corporate Organization
632,Corporate Organization
1772,Corporate Organization
53,Church
1333,Corporate Organization
2240,Corporate Organization
2237,Corporate Organization
1783,Corporate Organization
2234,Corporate Organization
267,Corporate Organization
2298,Corporate Organization
2198,Corporate Organization

